"Id_beroep";"Id_verb";"Beroep_letterlijk";"Beroep_vertaling";"Beroep_cat";"Gevangenis"
17650;17571;"Ouvrier macon";"Metser-arbeider";;"Gent"
17651;17572;"journalier";"Dagloner";;"Gent"
17652;17573;"menagere";"Huisvrouw";;"Gent"
17653;17575;"ouvrier macon";"Metser-arbeider";;"Gent"
17654;17576;"tisserand";"Wever";;"Gent"
17655;17577;"botelier";"Binneschipper";;"Gent"
17656;17578;"portefait";"Kruier";;"Gent"
17657;17582;"ourvrier peintre";"Arbeider-schilder";;"Gent"
17658;17583;"Colporteur";"Straatventer";;"Gent"
17659;17584;"Portefait";"Kruier";;"Gent"
17660;17585;"ouvrier peintre";"Arbeider-schilder";;"Gent"
17661;17586;"foraine";"Kermiskramer";;"Gent"
17662;17587;"servante";"Dienstmeisje";;"Gent"
17663;17588;"Fileur";"Spinner";;"Gent"
17664;17589;"ouvrier cigairier";"Werknemer in de sigarenmakerij";;"Gent"
17665;17591;"ouvrier agricole";"Landbouwwerker";;"Gent"
17666;17592;"colparteur";"Straatventer";;"Gent"
17667;17593;"marchand de parapluies";"Handelaar in paraplus";;"Gent"
17668;17594;"chanteur ambulant";"Rondreizende zanger";;"Gent"
17669;17596;"ouvrier agricole";"Landbouwwerker";;"Gent"
17671;17597;"ouvrier agricole";"Landbouwwerker";;"Gent"
17672;17598;"machiniste";"Machinist";;"Gent"
17673;17599;"Journalier";"Dagloner";;"Gent"
17674;17600;"Joueur d'orgue";"Organist";;"Gent"
17675;17601;"cultivatrice";"Landbouwer";;"Gent"
17676;17602;"employe";"Werknemer";;"Gent"
17677;17603;"portefait";"Kruier";;"Gent"
17678;17604;"journalier";"Dagloner";;"Gent"
17679;17605;"ouvrier agricole";"Landbouwwerker";;"Gent"
17680;17606;"fouilleur";"Grafdelver";;"Gent"
17681;17607;"employe";"Werknemer";;"Gent"
17682;17608;"sellier";"Zadelmaker";;"Gent"
17683;17610;"ouvrier fabrique";"Fabrieksarbeider";;"Gent"
17684;17612;"Macon";"Metser";;"Gent"
17685;17613;"garcon boucher";"Slagersknecht";;"Gent"
17686;17614;"charpentier";"Timmerman";;"Gent"
17687;17615;"garcon";"Ober";;"Gent"
17688;17616;"soldat";"Soldaat";;"Gent"
17689;17617;"ouvrier cigarier";"Werknemer in de sigarenmakerij";;"Gent"
17690;17618;"cordonnier";"Schoenmaker";;"Gent"
17691;17619;"journalier";"Dagloner";;"Gent"
17692;17620;"ouvrier macon";"Metser-arbeider";;"Gent"
17693;17621;"cordonnier";"Schoenmaker";;"Gent"
17694;17622;"ouvrier fabrique";"Fabrieksarbeider";;"Gent"
17695;17623;"journalier";"Dagloner";;"Gent"
17696;17624;"cordonnier";"Schoenmaker";;"Gent"
17697;17625;"portefaix";"Kruier";;"Gent"
