"Id_geboorteplaats";"Id_verbl";"Plaatsnaam_letterlijk";"Plaatsnaam_vertaling";"Gevangenis"
17563;17571;;"Kruishoutem";"Gent"
17564;17572;"Deurle";"Deurle";"Gent"
17565;17573;"Sleidinge";"Sleidinge";"Gent"
17566;17574;"Zeveren";"Zeveren";"Gent"
17567;17575;"zommerghem";"Zomergem";"Gent"
17568;17576;"aeltre";"Aalter";"Gent"
17569;17577;"Bruges";"Brugge";"Gent"
17570;17578;"Gand";"Gent";"Gent"
17571;17579;"Holsbeek";"Holsbeek";"Gent"
17572;17580;"saventhem";"Zaventem";"Gent"
17573;17581;"Moerbeke";"Moerbeke";"Gent"
17574;17582;"Ledeberg";"Ledeberg";"Gent"
17575;17583;"Wachtebeeke";"Wachtebeke";"Gent"
17576;17584;"Gand";"Gent";"Gent"
17577;17585;"Gand";"Gent";"Gent"
17578;17586;"Gand";"Gent";"Gent"
17579;17588;"Gand";"Gent";"Gent"
17580;17589;"Gand";"Gent";"Gent"
17581;17590;"Gand";"Gent";"Gent"
17582;17591;"cruyshautem";"Kruishoutem";"Gent"
17583;17592;"Gand";"Gent";"Gent"
17584;17593;"Gand";"Gent";"Gent"
17585;17594;"Gand";"Gent";"Gent"
17586;17596;"Bachte Maria Leerne";"Bachte-Maria-Leerne";"Gent"
17587;17598;"Feluy (Hainaut)";"Feluy";"Gent"
17588;17599;"Gand";"Gent";"Gent"
17589;17600;"Gand";"Gent";"Gent"
17590;17601;"Schoondycke (Nl)";"Nederland";"Gent"
17591;17602;"Lille (Fr.)";"Frankrijk";"Gent"
17592;17603;"Gand";"Gent";"Gent"
17593;17604;"Gand";"Gent";"Gent"
17594;17605;"cluysen";"Kluizen";"Gent"
17595;17606;"Gand";"Gent";"Gent"
17597;17608;"Thielt";"Tielt";"Gent"
17598;17610;"Huysse";"Huise";"Gent"
17599;17611;"Gand";"Gent";"Gent"
17600;17613;"Gand";"Gent";"Gent"
17601;17614;"Belzele";"Belsele";"Gent"
17602;17614;"Brele";"Frankrijk";"Gent"
17603;17615;"Ledeberg";"Ledeberg";"Gent"
17604;17616;"Moerzeke";"Moerzeke";"Gent"
17605;17617;"Gand";"Gent";"Gent"
17606;17617;"Gand";"Gent";"Gent"
17607;17618;"Bruges";"Brugge";"Gent"
17608;17619;"calcken";"Kalken";"Gent"
17609;17620;"Gand";"Gent";"Gent"
17610;17621;"Gand";"Gent";"Gent"
17611;17622;"Gand";"Gent";"Gent"
17612;17623;"Gand";"Gent";"Gent"
17613;17624;"Gand";"Gent";"Gent"
17614;17625;"Gand";"Gent";"Gent"
17615;17626;"Gotthem";"Gottem";"Gent"
17616;17627;"Lemberge";"Lemberge";"Gent"
17617;17628;"ardoye";"Ardooie";"Gent"
17618;17629;"ardoye";"Ardooie";"Gent"
17619;17630;"Gand";"Gent";"Gent"
17620;17631;"bruges";"Brugge";"Gent"
17621;17632;"Hamme";"Hamme";"Gent"
17622;17633;"Deynze";"Deinze";"Gent"
17623;17635;"Gand";"Gent";"Gent"
17625;17636;"Deurle";"Deurle";"Gent"
17626;17637;"Nazarette";"Nazareth";"Gent"
17627;17638;"Gand";"Gent";"Gent"
17628;17639;"Gand";"Gent";"Gent"
17629;17640;"Gand";"Gent";"Gent"
17630;17641;"Bruges";"Brugge";"Gent"
17631;17642;"sommergem";"Zomergem";"Gent"
17632;17643;"Gand";"Gent";"Gent"
17633;17644;"Gand";"Gent";"Gent"
17634;17645;"Gand";"Gent";"Gent"
17635;17646;"Gand";"Gent";"Gent"
17636;17647;"Bruges";"Brugge";"Gent"
17637;17648;"Gand";"Gent";"Gent"
17638;17649;"gand";"Gent";"Gent"
17639;17650;"Hauthem st Lieve";"Sint-Lievens-Houtem";"Gent"
17640;17651;"Gand";"Gent";"Gent"
17641;17652;"Gand";"Gent";"Gent"
17642;17653;"Evergem";"Evergem";"Gent"
17643;17654;"Gand";"Gent";"Gent"
17644;17655;"Eecloo";"Eeklo";"Gent"
17645;17656;"Eecloo";"Eeklo";"Gent"
17646;17657;"Eecloo";"Eeklo";"Gent"
17647;17658;"Asper";"Asper";"Gent"
17648;17659;"Gand";"Gent";"Gent"
17649;17660;"Gand";"Gent";"Gent"
17650;17661;"Louvain";"Leuven";"Gent"
17651;17663;"Mons (Hainaut)";"Bergen";"Gent"
17652;17664;"Gand";"Gent";"Gent"
17653;17665;"Gand";"Gent";"Gent"
17654;17666;"dickelvenne";"Dikkelvenne";"Gent"
17655;17667;"Gand";"Gent";"Gent"
17656;17668;"Wondelgem";"Wondelgem";"Gent"
17657;17669;"Nevele";"Nevele";"Gent"
17658;17670;"Alveringhem";"Alveringem";"Gent"
17659;17671;"Gand";"Gent";"Gent"
17660;17672;"Gand";"Gent";"Gent"
17661;17673;"Gand";"Gent";"Gent"
17662;17674;"Hallewin (Fr)";"Frankrijk";"Gent"
17663;17675;"Mendonck";"Mendonk";"Gent"
17664;17676;"Wachtebeke";"Wachtebeke";"Gent"
17665;17677;"Veurne";"Veurne";"Gent"
17666;17678;"Nazareth";"Nazareth";"Gent"
17667;17679;"Gand";"Gent";"Gent"
17668;17680;"Schellebelle";"Schellebelle";"Gent"
17669;17681;"Ursel";"Ursel";"Gent"
17670;17682;"Laerne";"Laarne";"Gent"
17671;17683;"Gand";"Gent";"Gent"
17672;17684;"Gand";"Gent";"Gent"
17673;17685;"Hagesteen (Nl)";"Nederland";"Gent"
17674;17686;"Ertvelde";"Ertvelde";"Gent"
17675;17687;"Ledeberg";"Ledeberg";"Gent"
17676;17688;"Evergem";"Evergem";"Gent"
17677;17689;"Gand";"Gent";"Gent"
17678;17690;"Bruges";"Brugge";"Gent"
17679;17691;"odegem";"Adegem";"Gent"
17680;17692;"Gand";"Gent";"Gent"
17681;17693;"Gand";"Gent";"Gent"
17682;17694;"Ruppelmonde";"Rupelmonde";"Gent"
17683;17695;"eecke";"Eke";"Gent"
17684;17696;"Gand";"Gent";"Gent"
17685;17697;"Mont St. Amand";"Sint-Amandsberg";"Gent"
17686;17698;"Gand";"Gent";"Gent"
17687;17699;"Evergem";"Evergem";"Gent"
17688;17700;"Gentbrugge";"Gentbrugge";"Gent"
17689;17701;"Gand";"Gent";"Gent"
17690;17702;"Paris (Fr)";"Frankrijk";"Gent"
17691;17703;"sommergem";"Zomergem";"Gent"
17692;17704;"Gand";"Gent";"Gent"
17693;17706;"Ledeberg";"Ledeberg";"Gent"
26202;26269;;"Gent";"Gent"
26203;26270;;"Gent";"Gent"
26204;26271;;"Heusden";"Gent"
26205;26272;;"Wetteren";"Gent"
26206;26273;"Leysele";"Leisele";"Gent"
26207;26274;;"Eeklo";"Gent"
26208;26275;;"Wichelen";"Gent"
26209;26276;;"Gent";"Gent"
26210;26277;;"Sint-Niklaas";"Gent"
26211;26278;;"Zevergem";"Gent"
26212;26279;;"Zomergem";"Gent"
26213;26280;;"Zomergem";"Gent"
26214;26281;;"Hansbeke";"Gent"
26215;26282;;"Gent";"Gent"
26216;26283;;"Lochristi";"Gent"
26217;26284;"Warnegem Lede";"Wannegem-Lede";"Gent"
26218;26285;"Warneghme Lede";"Wannegem-Lede";"Gent"
26219;26286;;"Heusden";"Gent"
26220;26287;"Sint Jean";"Sint-Jan";"Gent"
26221;26288;;"Lochristi";"Gent"
26222;26289;;"Schellebelle";"Gent"
26223;26290;;"Merelbeke";"Gent"
26224;26291;"Huysse";"Huise";"Gent"
26225;26292;;"Gent";"Gent"
26226;26293;;"Eeklo";"Gent"
26227;26294;;"Oudenaarde";"Gent"
26228;26295;;"Oosterzele";"Gent"
26229;26296;;"Waterloo";"Gent"
26230;26297;;"Nazareth";"Gent"
26231;26298;;"Gent";"Gent"
26232;26299;;"Zomergem";"Gent"
26233;26300;;"Oosterzele";"Gent"
26234;26301;"Bouchaute";"Boekhoute";"Gent"
26235;26302;;"Merelbeke";"Gent"
26236;26303;"Oosterzele";"Oosterzele";"Gent"
26237;26304;"Gydenzele";"Gijzenzele";"Gent"
26238;26305;"Massemen Westrem";"Massemen-Westrem";"Gent"
26239;26306;;"Aalter";"Gent"
26240;26307;;"Scheldewindeke";"Gent"
26241;26308;;"Evergem";"Gent"
26242;26309;;"Oostakker";"Gent"
26243;26310;;"Knesselare";"Gent"
26244;26311;;"Leuven";"Gent"
26245;26312;;"Knesselare";"Gent"
26246;26313;;"Knesselare";"Gent"
26247;26314;;"Knesselare";"Gent"
26248;26315;;"Maldegem";"Gent"
26249;26316;;"Aaigem";"Gent"
26250;26317;;"Dikkelvenne";"Gent"
26251;26318;"St Laurent";"Frankrijk";"Gent"
26252;26319;;"Brugge";"Gent"
26253;26320;"Roxem";"Roksem";"Gent"
26254;26321;;"Drongen";"Gent"
26255;26322;;"Drongen";"Gent"
26256;26323;;"Lovendegem";"Gent"
26257;26324;;"Zomergem";"Gent"
26258;26325;;"Lovendegem";"Gent"
26259;26326;;"Gent";"Gent"
26260;26327;;"Kortrijk";"Gent"
26261;26328;;"Gent";"Gent"
26262;26329;;"Michelbeke";"Gent"
26263;26330;;"Maldegem";"Gent"
26264;26331;;"Gent";"Gent"
26265;26332;;"Brugge";"Gent"
26266;26333;;"Maldegem";"Gent"
26267;26334;;"Zomergem";"Gent"
26268;26335;;"Balegem";"Gent"
